id,demand
0:0:3,7.983862399924611
0:0:4,6.96297902543901
0:0:5,6.962971705359088
0:0:6,9.51515138807263
0:1:0,5.431641603168963
0:1:1,5.4316361254275956
0:1:2,5.431630629406582
0:1:6,9.515124363722515
0:1:7,6.962926738253367
0:2:0,6.501855840627975
0:2:1,5.431625676075443
0:2:6,7.983806762186276
0:3:4,5.431610627492759
0:3:6,6.962916927394961
0:3:7,8.26417803269366
0:4:2,7.9837942522309415
0:4:3,31.46390548811401
0:4:7,6.502033902564671
0:6:3,6.639188473492641
0:6:7,5.431634174548263
0:7:0,5.431627234721625
0:7:1,5.431620332675177
0:7:7,6.6336533097651085
1:0:2,1.331443822018527
1:0:7,21.63206347009634
1:1:5,19.707737988481863
1:2:0,2.0983612943569527
1:2:2,1.8416827950215413
1:2:5,5.926428131560186
1:2:7,0.3104012213771228
1:3:0,0.0
1:3:2,0.0
1:3:3,2.8633737924611298
1:3:5,11.032084100324608
1:3:7,5.550483774090013
1:4:7,2.098580203679828
1:5:6,0.3104948774129219
1:5:7,0.31050910089283
1:6:0,0.0
1:6:1,0.0
1:6:3,2.3711577260132373
1:6:5,9.478233892498139
1:6:6,4.395311347255404
1:7:3,0.0
1:7:5,0.0
1:7:6,1.3317800607832393
1:7:7,2.365570398228006
2:0:1,0.0
2:0:5,1.7747687954925442
2:0:7,11.765518610404866
2:1:2,1.7412958206156035
2:1:7,0.7208868497715466
2:2:1,0.0
2:2:4,3.2738521502715154
2:3:0,0.0
2:3:6,2.252217125256016
2:4:1,0.7204486470872404
2:4:3,26.76061735766104
2:4:6,0.0
2:5:2,0.0
2:5:7,0.0
2:6:3,0.3998598999411096
2:6:5,6.954331001878407
2:6:7,0.0
2:7:0,0.0
2:7:1,0.0
2:7:5,0.0
2:7:7,0.3970148589349143
3:0:0,0.0
3:0:3,3.7101321294570733
3:0:5,2.063644624191788
3:0:6,1.157906402700107
3:1:0,0.0
3:1:3,1.1578894610943824
3:1:4,1.1578726161326178
3:1:5,25.600452546242018
