@relation RequestFeatures

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric

@data
0,0,0,0.0,0,392.3291921158201,193.46115113373745,0.0
0,1,0,0.0,0,392.3291921158201,193.46115113373745,0.0
0,2,0,1.562592834741034,0,392.3291921158201,193.46115113373745,5.0
0,7,0,5.737792339760813,0,392.3291921158201,193.46115113373745,33.0
1,3,0,3.0,0,392.3291921158201,193.46115113373745,19.0
1,4,0,3.0,0,392.3291921158201,193.46115113373745,14.0
1,5,0,13.827922203276522,0,392.3291921158201,193.46115113373745,8.0
2,2,0,1.8448434395886775,0,392.3291921158201,193.46115113373745,3.0
2,3,0,0.0,0,392.3291921158201,193.46115113373745,17.0
2,4,0,8.0,0,392.3291921158201,193.46115113373745,14.0
2,5,0,3.14385499714234,0,392.3291921158201,193.46115113373745,11.0
2,7,0,1.8288792426447602,0,392.3291921158201,193.46115113373745,3.0
3,0,0,1.2725784997266203,0,392.3291921158201,193.46115113373745,0.0
3,1,0,0.0,0,392.3291921158201,193.46115113373745,5.0
3,2,0,1.3195876056559235,0,392.3291921158201,193.46115113373745,0.0
3,3,0,2.3640491159949786,0,392.3291921158201,193.46115113373745,8.0
3,5,0,8.521278868591214,0,392.3291921158201,193.46115113373745,19.0
4,0,0,0.0,0,392.3291921158201,193.46115113373745,0.0
4,1,0,0.0,0,392.3291921158201,193.46115113373745,8.0
4,4,0,0.0,0,392.3291921158201,193.46115113373745,27.0
4,5,0,5.0,0,392.3291921158201,193.46115113373745,17.0
4,6,0,0.0,0,392.3291921158201,193.46115113373745,0.0
5,0,0,0.0,0,392.3291921158201,193.46115113373745,0.0
5,1,0,0.0,0,392.3291921158201,193.46115113373745,0.0
5,2,0,0.0,0,392.3291921158201,193.46115113373745,0.0
5,3,0,0.0,0,392.3291921158201,193.46115113373745,3.0
5,4,0,8.0,0,392.3291921158201,193.46115113373745,11.0
5,5,0,3.0,0,392.3291921158201,193.46115113373745,3.0
5,6,0,1.7202144924231595,0,392.3291921158201,193.46115113373745,3.0
5,7,0,1.659159844580133,0,392.3291921158201,193.46115113373745,3.0
6,0,0,1.2254820696645294,0,392.3291921158201,193.46115113373745,0.0
6,1,0,1.2329152421351888,0,392.3291921158201,193.46115113373745,0.0
6,2,0,0.0,0,392.3291921158201,193.46115113373745,0.0
6,4,0,0.0,0,392.3291921158201,193.46115113373745,0.0
6,5,0,2.7381524033570126,0,392.3291921158201,193.46115113373745,14.0
6,6,0,2.667036432319245,0,392.3291921158201,193.46115113373745,11.0
7,2,0,0.0,0,392.3291921158201,193.46115113373745,0.0
7,3,0,1.515147361821131,0,392.3291921158201,193.46115113373745,0.0
7,4,0,0.0,0,392.3291921158201,193.46115113373745,0.0
7,5,0,1.5571262480135895,0,392.3291921158201,193.46115113373745,0.0
7,6,0,1.8364744238635509,0,392.3291921158201,193.46115113373745,5.0
0,0,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
0,1,0.0,1.3187254117112448,392.3291921158201,193.46115113373745,104.38877800801744,0.0
0,3,10.094320440323274,3.0,392.3291921158201,193.46115113373745,104.38877800801744,5.0
0,4,7.861736124017358,0.0,392.3291921158201,193.46115113373745,104.38877800801744,3.0
0,5,6.998972642009149,1.7231286732827087,392.3291921158201,193.46115113373745,104.38877800801744,3.0
0,6,11.936562520688092,3.0,392.3291921158201,193.46115113373745,104.38877800801744,8.0
1,0,1.3220452042569952,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
1,1,1.3294783767276543,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
1,2,1.3275822670135289,2.0872119941576406,392.3291921158201,193.46115113373745,104.38877800801744,0.0
1,3,19.0,3.0,392.3291921158201,193.46115113373745,104.38877800801744,3.0
1,4,14.0,3.0,392.3291921158201,193.46115113373745,104.38877800801744,3.0
1,6,9.942602924728497,0.0,392.3291921158201,193.46115113373745,104.38877800801744,8.0
1,7,7.326933549957432,1.7231286732827087,392.3291921158201,193.46115113373745,104.38877800801744,3.0
2,1,1.3294783767276543,1.3187254117112448,392.3291921158201,193.46115113373745,104.38877800801744,0.0
2,3,17.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
2,4,14.0,2.317083118611158,392.3291921158201,193.46115113373745,104.38877800801744,8.0
2,6,8.133805890194488,3.0,392.3291921158201,193.46115113373745,104.38877800801744,5.0
3,1,5.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
3,4,5.686164565635332,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
3,6,5.368513190084442,2.0023417194828497,392.3291921158201,193.46115113373745,104.38877800801744,3.0
4,0,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
4,1,8.0,1.6107489691474584,392.3291921158201,193.46115113373745,104.38877800801744,0.0
4,2,4.455412380266106,0.0,392.3291921158201,193.46115113373745,104.38877800801744,5.0
4,3,24.68716980696877,7.602288698032591,392.3291921158201,193.46115113373745,104.38877800801744,51.0
4,4,27.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
4,5,17.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,5.0
4,6,0.0,1.7064011445683938,392.3291921158201,193.46115113373745,104.38877800801744,0.0
5,0,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
5,1,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
5,2,0.0,1.2818722451673736,392.3291921158201,193.46115113373745,104.38877800801744,0.0
5,3,3.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
5,4,11.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,8.0
5,5,3.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,3.0
6,2,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
6,4,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
6,7,2.2193360051288797,1.5254106447603226,392.3291921158201,193.46115113373745,104.38877800801744,0.0
7,0,1.1938285882449997,1.202358897136538,392.3291921158201,193.46115113373745,104.38877800801744,0.0
7,1,1.201261760715659,1.2097920696071969,392.3291921158201,193.46115113373745,104.38877800801744,0.0
7,2,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
7,4,0.0,0.0,392.3291921158201,193.46115113373745,104.38877800801744,0.0
0,0,0.0,1.2714858032108145,193.46115113373745,104.38877800801744,100.35138986877305,0.0
0,2,1.562592834741034,0.0,193.46115113373745,104.38877800801744,100.35138986877305,0.0
0,3,5.0,2.5482006172521237,193.46115113373745,104.38877800801744,100.35138986877305,3.0
0,4,3.0,0.0,193.46115113373745,104.38877800801744,100.35138986877305,0.0
0,6,8.0,1.791972551787334,193.46115113373745,104.38877800801744,100.35138986877305,3.0
1,0,0.0,1.2714858032108145,193.46115113373745,104.38877800801744,100.35138986877305,0.0
1,1,0.0,0.0,193.46115113373745,104.38877800801744,100.35138986877305,0.0
1,3,3.0,1.7046259510299644,193.46115113373745,104.38877800801744,100.35138986877305,3.0
1,4,3.0,1.7971894678794809,193.46115113373745,104.38877800801744,100.35138986877305,3.0
1,5,13.827922203276522,5.544000604876027,193.46115113373745,104.38877800801744,100.35138986877305,33.0
1,6,8.0,0.0,193.46115113373745,104.38877800801744,100.35138986877305,0.0
2,0,1.3033607296368916,0.0,193.46115113373745,104.38877800801744,100.35138986877305,0.0
2,2,1.8448434395886775,5.0,193.46115113373745,104.38877800801744,100.35138986877305,3.0
2,3,0.0,1.6177647018670118,193.46115113373745,104.38877800801744,100.35138986877305,0.0
