0.0 1:0 2:0 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:0 2:1 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
5.0 1:0 2:2 3:0 4:0.79102977 5:0 6:312.1529797 7:145.24036047
33.0 1:0 2:7 3:0 4:1.8198312 5:0 6:312.1529797 7:145.24036047
19.0 1:1 2:3 3:0 4:3.0 5:0 6:312.1529797 7:145.24036047
14.0 1:1 2:4 3:0 4:3.0 5:0 6:312.1529797 7:145.24036047
8.0 1:1 2:5 3:0 4:2.0400138 5:0 6:312.1529797 7:145.24036047
3.0 1:2 2:2 3:0 4:0.82235118 5:0 6:312.1529797 7:145.24036047
17.0 1:2 2:3 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
14.0 1:2 2:4 3:0 4:8.0 5:0 6:312.1529797 7:145.24036047
11.0 1:2 2:5 3:0 4:1.1076058 5:0 6:312.1529797 7:145.24036047
3.0 1:2 2:7 3:0 4:0.72482946 5:0 6:312.1529797 7:145.24036047
0.0 1:3 2:0 3:0 4:0.61183222 5:0 6:312.1529797 7:145.24036047
5.0 1:3 2:1 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:3 2:2 3:0 4:0.6120759 5:0 6:312.1529797 7:145.24036047
8.0 1:3 2:3 3:0 4:0.89485953 5:0 6:312.1529797 7:145.24036047
19.0 1:3 2:5 3:0 4:1.4572914 5:0 6:312.1529797 7:145.24036047
0.0 1:4 2:0 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
8.0 1:4 2:1 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
27.0 1:4 2:4 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
17.0 1:4 2:5 3:0 4:5.0 5:0 6:312.1529797 7:145.24036047
0.0 1:4 2:6 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:5 2:0 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:5 2:1 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:5 2:2 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
3.0 1:5 2:3 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
11.0 1:5 2:4 3:0 4:8.0 5:0 6:312.1529797 7:145.24036047
3.0 1:5 2:5 3:0 4:3.0 5:0 6:312.1529797 7:145.24036047
3.0 1:5 2:6 3:0 4:0.72060764 5:0 6:312.1529797 7:145.24036047
3.0 1:5 2:7 3:0 4:0.72696448 5:0 6:312.1529797 7:145.24036047
0.0 1:6 2:0 3:0 4:0.60661857 5:0 6:312.1529797 7:145.24036047
0.0 1:6 2:1 3:0 4:0.60785408 5:0 6:312.1529797 7:145.24036047
0.0 1:6 2:2 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:6 2:4 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
14.0 1:6 2:5 3:0 4:1.1350068 5:0 6:312.1529797 7:145.24036047
11.0 1:6 2:6 3:0 4:1.0011603 5:0 6:312.1529797 7:145.24036047
0.0 1:7 2:2 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:7 2:3 3:0 4:0.60932968 5:0 6:312.1529797 7:145.24036047
0.0 1:7 2:4 3:0 4:0.0 5:0 6:312.1529797 7:145.24036047
0.0 1:7 2:5 3:0 4:0.61407861 5:0 6:312.1529797 7:145.24036047
5.0 1:7 2:6 3:0 4:0.7890038 5:0 6:312.1529797 7:145.24036047
0.0 1:0 2:0 3:0.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:0 2:1 3:0.0 4:0.081583808 5:312.1529797 6:145.24036047 7:68.982903777
5.0 1:0 2:3 3:2.1217708 4:3.0 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:0 2:4 3:2.0538734 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:0 2:5 3:2.0551089 4:0.20040529 5:312.1529797 6:145.24036047 7:68.982903777
8.0 1:0 2:6 3:2.2291766 4:3.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:1 2:0 3:1.9442366 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:1 2:1 3:1.9454721 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:1 2:2 3:1.9467076 4:0.25465606 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:1 2:3 3:19.0 4:3.0 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:1 2:4 3:14.0 4:3.0 5:312.1529797 6:145.24036047 7:68.982903777
8.0 1:1 2:6 3:2.2281812 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:1 2:7 3:2.0565845 4:0.19736609 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:2 2:1 3:1.9444767 4:0.07959294 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:2 2:3 3:17.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
8.0 1:2 2:4 3:14.0 4:0.3648476 5:312.1529797 6:145.24036047 7:68.982903777
5.0 1:2 2:6 3:2.1234864 4:3.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:3 2:1 3:5.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:3 2:4 3:1.9471878 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
3.0 1:3 2:6 3:2.0533581 4:0.29405493 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:4 2:0 3:0.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:4 2:1 3:8.0 4:0.18130138 5:312.1529797 6:145.24036047 7:68.982903777
5.0 1:4 2:2 3:2.1165535 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
51.0 1:4 2:3 3:3.707845 4:1.9786416 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:4 2:4 3:27.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
5.0 1:4 2:5 3:17.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:4 2:6 3:0.0 4:0.083779652 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:5 2:0 3:0.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:5 2:1 3:0.0 4:0.0 5:312.1529797 6:145.24036047 7:68.982903777
0.0 1:5 2:2 3:0.0 4:0.077842155 5:312.1529797 6:145.24036047 7:68.982903777
