id,demand
0:0:3,3.5076344507263078
0:0:4,3.527779116817484
0:0:5,3.546399717327796
0:0:6,5.3690618217390265
0:1:0,2.478668222892732
0:1:1,2.482907236134829
0:1:2,2.4871462897062884
0:1:6,5.36786735209212
0:1:7,3.561493645616942
0:2:0,2.4796323480792672
0:2:1,2.4804934439759925
0:2:6,3.51954887224823
0:3:4,3.4644888971418166
0:3:6,3.4993102946892494
0:3:7,3.518187544948057
0:4:2,2.486336443391018
0:4:3,17.582511419023664
0:4:7,3.497191386071324
0:6:3,3.379319325168396
0:6:7,3.455436530245057
0:7:0,2.4643269879686014
0:7:1,2.4685658818165876
0:7:7,3.4314795689590625
1:0:2,1.4587177005344532
1:0:7,9.790479800027983
1:1:5,11.025121391455242
1:2:0,1.4426473373236728
1:2:2,1.453876375355041
1:2:5,1.4838187449885714
1:2:7,1.4651319154384934
1:3:0,1.4378150219676376
1:3:2,1.4404718239307381
1:3:3,1.4643618598513266
1:3:5,1.5055049374530851
1:3:7,1.4711253603540326
1:4:7,1.4629956293196418
1:5:6,1.4569923992639178
1:5:7,1.4633886766882338
1:6:0,1.429306272804555
1:6:1,1.4323133343059178
1:6:3,1.4505468363520597
1:6:5,1.4843110419763033
1:6:6,1.4761012638890878
1:7:3,1.4366296276231818
1:7:5,1.4460449401131377
1:7:6,1.4587218761704954
1:7:7,1.4610211148403338
2:0:1,1.442857049522323
2:0:5,1.4661708525973787
2:0:7,1.4903701949968158
2:1:2,1.4505615669347052
2:1:7,1.4705036544689023
2:2:1,1.4394415323432417
2:2:4,1.4693838556271732
2:3:0,1.4384703504947516
2:3:6,1.464523444518116
2:4:1,1.4398823527942353
2:4:3,18.62551581186427
2:4:6,1.4510985625665593
2:5:2,1.4373146609450045
2:5:7,1.4562463383510234
2:6:3,1.4424289092174971
2:6:5,1.4519432159611332
2:6:7,1.454097279487695
2:7:0,1.431218466978761
2:7:1,1.4342303251081683
2:7:5,1.4467140337729976
2:7:7,1.4527864164826967
3:0:0,1.4436387425133823
3:0:3,1.4635406028516529
3:0:5,1.4630118454695396
3:0:6,1.466185497424129
3:1:0,1.4419013005516728
3:1:3,1.4554088201355155
3:1:4,1.4584160416486764
3:1:5,10.834772568516131
3:1:7,1.4633482609557023
3:2:3,1.445725845329104
3:2:5,1.462980128335955
3:3:3,5.650347537017376
3:4:0,1.433295174335834
3:4:4,1.4453806977549537
3:5:5,1.45011599467071
3:5:6,1.449734685062581
3:6:0,1.4298984807852682
3:6:1,1.436284015071848
3:6:4,1.4453473658612839
3:6:5,1.455157903668596
3:6:7,1.4548011260434257
3:7:0,1.4318790463538766
3:7:1,1.4382685222019966
4:0:0,1.4479748901257894
4:0:2,1.4468566983126279
4:1:0,1.4462680151983125
4:1:5,1.485909488261114
4:2:2,1.4565307315905354
4:2:5,1.4563573333343938
4:3:0,1.4357283630333488
4:3:7,1.4699441510393627
4:4:1,1.4482646590968509
4:4:3,1.4509206440330358
4:4:6,1.4555398091800993
4:5:0,1.4323128685777382
4:5:1,1.4353199478477967
4:5:4,1.4443793394048396
4:5:5,1.454559117812442
4:6:1,1.4407264713088423
4:6:2,1.4399865144508972
4:6:3,1.4396167993183504
4:6:4,1.4463968105001188
4:7:1,1.435620496506191
4:7:2,1.4348731545308522
4:7:3,1.4412605433772678
4:7:4,1.4408873932783501
4:7:5,1.4472791710095358
5:0:0,1.4469907525460808
5:0:7,1.46099015390089
5:1:0,1.4419031647991851
5:1:1,1.4411349850631183
5:1:3,1.4505528371765106
5:1:4,1.4535622256692662
5:1:5,1.4570614664187196
5:1:6,1.4927349886757022
5:1:7,1.4625986572778098
5:2:3,1.4488021635115353
5:2:6,1.467524800446557
5:2:7,1.4687033086645773
5:3:3,1.4757990500695448
5:3:6,1.4582311636763927
5:4:1,1.4397265414362328
5:4:6,1.458244368014682
5:5:2,1.4406509817073807
5:5:3,1.4436603058754283
5:5:5,1.453494917956597
5:6:0,1.429504196116041
5:6:1,1.436272080711638
5:6:2,1.4392772186520817
5:6:6,1.4532417691554662
5:7:0,1.4277676310308283
5:7:3,1.4439683995138215
5:7:5,1.4500191292141467
5:7:6,17.599911978243263
6:0:0,1.4467332868584588
6:1:3,1.4503041857426568
6:1:4,1.4533192108245105
6:1:7,1.468065076107431
6:2:1,1.4421173600557273
6:2:3,1.4524008171801055
6:2:7,1.4607009421609087
6:3:1,1.4370309299014528
6:3:2,1.443875465766165
6:3:3,1.4524802539272517
6:3:5,1.4554741783635174
6:3:6,6.129226999114127
6:3:7,6.368770888760231
6:4:0,1.4323219436794787
6:4:5,1.4512710306972267
6:4:6,1.4542473535855363
6:5:0,1.43397233059618
6:5:2,1.4403984677433386
6:5:3,1.4434134273305705
6:5:4,1.4460315181932752
6:5:5,1.4494533460143142
6:6:3,1.4413018330077005
6:6:5,7.286899227225804
6:6:6,3.9572956716597285
6:7:2,1.433251233500437
6:7:3,1.4433945599109383
6:7:5,1.4460766827692142
6:7:6,11.50476550685439
7:1:0,1.43710678050205
7:1:6,0.20253975609909242
7:1:7,1.3092607065982111
7:2:1,1.4356891143470747
7:2:2,9.691915161395086
7:2:5,4.716835170578815
7:3:0,1.4272848100374151
7:3:3,2.1750924185122837
7:3:4,1.445731305473069
7:3:7,15.737484107518865
7:4:2,1.4345852018605578
7:4:3,6.138563502395898
7:5:0,1.430601049233425
7:5:1,9.394613516984837
7:5:4,1.4427978806468065
7:5:7,6.15199717975027
7:6:1,1.4249118924044506
7:6:2,1.4312743855862469
7:6:3,1.438045997044695
7:6:7,1.44865163963709
7:7:1,1.4231754585999574
7:7:3,1.4329764759167658
7:7:7,1.4412942432837106
8:0:3,99.32445841392891
8:0:4,90.00641653908107
8:0:6,17.650605759898852
8:1:1,2.460275019957154
8:1:2,37.96477164641982
8:1:3,34.161581787184645
8:1:4,20.0314299454338
8:1:5,31.37040390906152
8:2:4,88.49371788575121
8:2:5,17.63109474164463
8:3:1,3.5472923187617287
8:3:2,27.044873156140017
8:3:5,17.98884148989839
8:3:7,39.3684228910232
8:4:2,2.456150606323159
8:4:3,6.603640668666701
8:4:4,5.480885111354516
8:4:5,23.292221422099185
8:4:7,2.760345544550125
8:5:0,2.443903450511196
8:5:4,3.2533315220870684
8:5:6,12.012714778396601
8:6:2,2.4498575834945453
8:6:3,3.215138834756012
8:6:4,6.711645037422846
8:6:7,3.1689160376796526
8:7:2,2.4461281360795244
8:7:4,3.1947978402480377
9:0:5,135.5198976752004
9:1:0,2.5157838859924353
9:1:3,167.47451811600024
9:1:5,232.84369080542984
9:1:6,85.09490791708185
9:2:2,61.10668036641551
9:2:5,182.84456076764297
9:3:6,155.9744996492942
9:4:7,66.27018626571925
9:5:1,2.5594083964555825
9:5:2,2.508868592153148
9:5:4,4.621879920229185
9:5:5,54.7969292900415
9:6:1,2.498352317481399
9:6:5,32.508492029403925
9:6:6,80.62836005492079
9:6:7,54.04990173624481
9:7:2,2.506509120755112
9:7:5,6.020257312174726
9:7:6,4.61045363815588
9:7:7,7.599920515036423
10:0:0,2.5345424334218154
10:0:1,2.540781458231555
10:0:2,119.63536637422064
10:1:1,2.518568892882713
10:1:5,470.3643069118153
10:2:2,67.73285193291208
10:2:3,309.8916499174772
10:2:4,517.0140112379939
10:2:5,251.06958639695785
10:2:7,313.8482812391202
10:3:2,111.85771143328544
10:3:7,126.71562119510548
10:4:7,89.31714402653313
10:5:2,2.5228912359393103
10:5:5,59.525356018395414
10:5:6,68.72026199553342
10:5:7,43.2280994163857
10:6:5,110.16308712832634
